,english,arabic
10,Article 2,- ارتفعت بما لا يتجاوز الفرق بين سعر التكلفة والتأمين ومصاريف الشحن وسعر التكلفة والتأمين ومصاريف الشحن للتسليم الآجل، عندما يتجاوز السعر الأول السعر الأخير بما يزيد عن 0 7025 وحدة حسابية لكل 100 كيلوغرام.
11,"THE COUNCIL OF THE EUROPEAN COMMUNITIES,",يدخل هذا النظام حيز التنفيذ في اليوم الثالث بعد نشره في الجريدة الرسمية الخاصة بالجماعات الأوروبية.
12,Having regard to the Opinion of the European Parliament (1);,مع الأخذ في الاعتبار المعاهدة التي أنشئت بموجبها الجماعة الاقتصادية الأوروبية وبالتحديد المادة 100 منها؛
13,"Whereas a regulation of 31 March 1969 on the ""Composition of exhaust gases emitted from petrol engines of motor vehicles"" was published in France in the Journal officiel of 17 May 1969 ; whereas that regulation is applicable: - from 1 September 1971, to type-approved vehicles with a new type of engine, that is to say, a type of engine which has never before been installed in a type-approved vehicle;",مع الأخذ في الاعتبار الرأي الصادر عن اللجنة الاقتصادية والاجتماعية (2)؛
14,"Whereas, furthermore, the technical requirements must be rapidly adapted to take account of technical progress ; whereas, to this end, provision should be made for application of the procedure laid down in Article 13 of the Council Directive of 6 February 1970 on the type approval of motor vehicles and their trailers;",- ابتداءً من 1 سبتمبر/أيلول 1972، للمركبات التي يتم تشغيلها للمرة الأولى؛
15,"For the purposes of this Directive, ""vehicle"" means any vehicle with a positive-ignition engine, intended for use on the road, with or without bodywork, having at least four wheels, a permissible maximum weight of at least 400 kg and a maximum design speed equal to or exceeding 50 km/h, with the exception of agricultural tractors and machinery and public works vehicles.",اعتمد هذا التوجيه:
16,"- from 1 October 1971, where that vehicle satisfies, in addition, the requirements contained in items 3.2.1.1 and 3.2.2.1 of Annex I and in Annex III.",المادة 2
17,2. The provisions of paragraph 1 shall be revoked as soon as the Council Directive of 6 February 1970 on the type approval of motor vehicles and their trailers enters into force.,المادة 3
18,Article 5,المادة 4
19,1. Member States shall adopt provisions containing the requirements needed in order to comply with this Directive before 30 June 1970 and shall forthwith inform the Commission thereof.,يجب اعتماد التعديلات اللازمة لتسوية متطلبات الملحقات التي تتراوح بين I و VII للأخذ في الاعتبار التقدم التقني، وذلك بما يتوافق مع الإجراء المنصوص عليه في المادة 13 من توجيه المجلس الصادر في 6 فبراير/شباط 1970، بشأن الموافقة على نوع المركبات ومقطوراتها.
20,This Directive is addressed to the Member States.,2. يتوجب على الدول الأعضاء الحرص على إبلاغ المفوضية الأوروبية بنص الأحكام الرئيسية للقانون الوطني الذي تعتمده في المجال الذي يغطيه هذا التوجيه.
21,"Having regard to the Treaty establishing the European Economic Community, and in particular Article 103 thereof;",توجيه المجلس الصادر في 24 يوليو/تموز 1973 بشأن تدابير التخفيف من آثار الصعوبات في توريد النفط الخام والمنتجات البترولية (73/238/EEC)
22,Having regard to the Opinion of the Economic and Social Committee;,مع الأخذ في الاعتبار اقتراح المفوضية الأوروبية؛
23,Whereas procedures and appropriate instruments should be provided in advance to ensure the speedy implementation of measures to mitigate the effects of difficulties in the supply of petroleum and petroleum products;,حيث أن وضع سياسة طاقة مشتركة يشكل أحد الأهداف التي حددتها الجماعات بنفسها؛
24,Whereas it is also desirable that a consultative body be set up immediately to facilitate the coordination of practical measures taken or proposed by the Member States in this field;,حيث أنه يتوجب بالتالي على كافة الدول الأعضاء التمتع بالصلاحيات اللازمة لاتخاذ الإجراء المناسب، عند الحاجة، من دون تأخير وبما يتوافق مع المعاهدة، وبخاصة المادة 103 منها؛
25,Article 1,حيث أنه من الضروري أن تضع كل دولة عضو خطة يمكن استخدامها في حال ظهور صعوبات في توريد النفط الخام والمنتجات البترولية؛
26,Article 5,المادة 3
27,This Directive is addressed to the Member States.,يتوجب على الدول الأعضاء إنفاذ الأحكام التي ينص عليها القانون أو الأنظمة أو الإجراءات الإدارية اللازمة للامتثال لهذا التوجيه قبل 30 يونيو/حزيران 1974.
28,Having regard to the Treaty establishing a Single Council and a Single Commission of the European Communities;,النظام (الجماعة الأوروبية للفحم والصلب، الجماعة الاقتصادية الأوروبية، الجماعة الأوروبية للطاقة الذرية) رقم 559/73 الصادر عن المجلس في تاريخ 26 فبراير/شباط 1973 والذي يعدل نظام المجلس (الجماعة الاقتصادية الأوروبية ، الجماعة الأوروبية للطاقة الذرية ، الجماعة الأوروبية للفحم والصلب) رقم 260/68 الذي ينص على شروط وإجراءات فرض الضريبة لصالح الجماعات الأوروبية.
29,"Whereas, in the light of a recent judgment of the Court of Justice of the European Communities and certain urgent social requirements, it seems desirable to amend a provision of Council Regulation (EEC, Euratom, ECSC) No 260/68 (1) of 29 February 1968 laying down the conditions and procedure for applying the tax for the benefit of the European Communities, as last amended by Regulation (Euratom, ECSC, EEC) No 2531/72 (2);",مع الأخذ في الاعتبار البروتوكول الخاص بامتيازات وحصانات الجماعات الأوروبية وبخاصة المادة 13 منه؛
30,"Council Regulation (EEC, Euratom, ECSC) No 260/68 of 29 February 1968 shall be amended as follows:",اعتمد هذا النظام:
31,"COUNCIL DIRECTIVE of 17 December 1973 on the approximation of the laws of the Member States relating to the interior fittings of motor vehicles (interior parts of the passenger compartment other than the interior rear-view mirrors, layout of the controls, the roof or sliding roof, the backrest and rear part of the seats) (74/60/EEC)","يجب استبدال عبارة ""راتب الأسرة"" بعبارة ""راتب رب الأسرة"" في المادة 3 (3) (أ)."
32,Having regard to the proposal from the Commission;,مجلس الجماعات الأوروبية،
33,"Whereas the technical requirements which motor vehicles must satisfy pursuant to national laws relate, inter alia, to interior fittings for the protection of the occupants;",مع الأخذ في الاعتبار الرأي الصادر عن البرلمان الأوروبي (1)؛
34,Whereas harmonized requirements must reduce the risk or the severity of injuries of which motor vehicle drivers may be victims and thereby ensure road safety throughout the entire Community;,حيث أن هذه المتطلبات تختلف بين دولة عضو وأخرى؛ وحيث أنه من الضروري بالتالي أن تفرض الدول الأعضاء كافة المتطلبات نفسها، سواء بالإضافة إلى الأنظمة القائمة أو بدلاً منها، وذلك بشكل خاص من أجل السماح بتطبيق إجراء الموافقة على النوع من قبل الجماعة الاقتصادية الأوروبية، الذي كان موضوع توجيه المجلس الصادر في 6 فبراير/شباط 1970 (3) بشأن تنسيق قوانين الدول الأعضاء المتعلقة بالموافقة على نوع المركبات ومقطوراتها من أجل تطبيقها على أنواع المركبات كافة؛
35,Article 1,"حيث أنه، ومع الأخذ في الاعتبار المتطلبات التقنية، من المناسب استخدام تلك المعتمدة من قبل لجنة الأمم المتحدة الاقتصادية لأوروبا في نظامها رقم 21 (""المتطلبات الموحدة الخاصة بالموافقة على المركبات بحسب تجهيزاتها الداخلية"") المرفق باتفاق 20 مارس/آذار 1958 بشأن اعتماد الشروط الموحدة للموافقة والاعتراف المتبادل بالموافقة على تجهيزات وقطع غيار المركبات الآلية،"
36,"No Member State may refuse to grant EEC type approval or national type approval of a vehicle on grounds relating to such interior fittings of the vehicles as: - the interior parts of the passenger compartment other than the interior rear-view mirror or mirrors,","لغايات التوجيه، يعني مصطلح ""مركبة"" أي مركبة آلية من فئة M1 (المعرفة في الملحق I من توجيه 6 فبراير/شباط 1970) ومصممة للاستخدام على الطرقات وتتمتع بأربع عجلات على الأقل وسرعتها القصوى لا تتجاوز الـ 25 كلم/ساعة."
37,"- the backrest and rear part of the seats,",- ترتيب الضوابط، (1) OJ، رقم C 112، تاريخ 27.10.1972، ص. 14. (2) OJ، رقم C 123، تاريخ 27.11.1972، ص. 32.  (3) OJ، رقم L 42، تاريخ 23.2.1970، ص.1. (4) OJ، رقم L 68، تاريخ 22.3.1971، ص.1.
38,"No Member State may refuse to register or prohibit the sale, entry into service or use of any vehicle on grounds relating to: - the interior parts of the passenger compartment other than the interior rear-view mirror or mirrors,",إذا كانت تتوافق مع المتطلبات التي تنص عليها الملحقات.
39,"- the backrest and the rear part of the seats,",ترتيب الضوابط،
40,"The Member State which has granted type approval must take the necessary measures to ensure that it is informed of any modification of a part or characteristic referred to in Annex I, 2.2. The competent authorities of that State shall determine whether fresh tests should be carried out on the modified vehicle and a fresh report drawn up. Where such tests reveal failure to comply with the requirement of this Directive, the modification shall not be approved.",إذا كانت تتوافق مع المتطلبات التي تنص عليها الملحقات.
41,Article 6,المادة 5
42,Article 7,1. يتوجب على الدول الأعضاء إنفاذ الأحكام اللازمة للامتثال لهذا التوجيه خلال ثمانية عشر شهراً من تاريخ تبلغها، وعليها إعلام المفوضية الأوروبية بشأنها فوراً.
43,"THE COUNCIL OF THE EUROPEAN COMMUNITIES,",هذا التوجيه موجه إلى الدول الأعضاء.
44,Having regard to the proposal from the Commission;,مع الأخذ في الاعتبار المعاهدة التي أنشئت بموجبها الجماعة الاقتصادية الأوروبية؛
45,Article 1,حيث أن المجلس قد حدد في النظام (الجماعة الاقتصادية الأوروبية) رقم 922/72 (2) المعدل بموجب النظام (الجماعة الاقتصادية الأوروبية) رقم 884/73 (3) القواعد العامة لتقديم المساعدة في ما يتعلق بديدان القز لسنتي التربية 1972/73 و1973/74؛ وحيث أن التجربة قد أظهرت أنه يجب متابعة تطبيق النظام المذكور في سنوات التربية القادمة،
46,This Regulation shall be applicable from 1 April 1974.,"في المادة 1 من نظام (الجماعة الاقتصادية الأوروبية) رقم 922/72 يجب حذف عبارة ""لسنتي التربية 1972/73 و1973/74""."
47,"THE COUNCIL OF THE EUROPEAN COMMUNITIES,",يجب أن يكون هذا النظام ملزماً بكامله ومطبقاً مباشرةً في كل الدول الأعضاء.
48,Having regard to the Opinion of the Economic and Social Committee (2);,مع الأخذ في الاعتبار اقتراح المفوضية الأوروبية؛
49,HAS ADOPTED THIS DIRECTIVE:,حيث أن التوجيه رقم   64/221/EEC (3)نسّق التدابير الخاصة المتعلقة بتنقل وإقامة المواطنين الأجانب القائمة على أساس السياسة العامة أو الأمن العام أو الصحة العامة، وحيث أن التوجيه رقم No 75/34/EEC (4) حدد شروط ممارسة حق مواطني الدولة العضو بالبقاء على أراضي دولة عضو أخرى بعد السعي إلى ممارسة نشاط فيها على حسابهم الخاص؛
50,Article 2,المادة 1
51,"THE COUNCIL OF THE EUROPEAN COMMUNITIES,",هذا التوجيه موجه إلى الدول الأعضاء.
52,Having regard to the Opinion of the European Parliament (1);,مع الأخذ في الاعتبار المعاهدة التي أنشئت بموجبها الجماعة الاقتصادية الأوروبية وبخاصة المادة 100 منها؛
53,"Whereas these barriers to the establishment and functioning of the common market can be removed if all the Member States adopt the same specifications, either in addition to or in place of those laid down in their present laws, and whereas these specifications must relate, more particularly, to the manufacture, filling and nominal capacities of aerosol dispensers;",مع الأخذ في الاعتبار الرأي الصادر عن اللجنة الاقتصادية والاجتماعية (2)؛
54,"Whereas it is possible that some aerosol dispensers placed on the market may represent a safety risk even though they satisfy the requirements of this Directive and of the Annex thereto ; whereas a procedure should therefore be laid down to obviate this risk,",حيث أنه، وفي المرحلة الحالية من التقدم التقني، يجب حصر مجال تطبيق هذا التوجيه على مرشات الضبوب المصنوعة من المعدن أو الزجاج أو البلاستيك؛
55,"This Directive shall apply to aerosol dispensers as defined in Article 2, with the exception of those with a maximum capacity of less than 50 ml, and those with a maximum capacity greater than that specified in points 3.1, 4.1.1, 4.2.1, 5.1 and 5.2 respectively of the Annex to this Directive.",اعتمد التوجيه التالي:
56,Article 3,المادة 2
57,"The Member States may not, for reasons related to the requirements laid down in this Directive and the Annex thereto, refuse, prohibit or restrict the marketing of any aerosol dispenser which complies with the requirements of this Directive and the Annex thereto. (1)OJ No C 83, 11.10.1973, p. 24. (2)OJ No C 101, 23.11.1973, p. 28.","يتوجب على الشخص المسؤول عن تسويق مرشات الضبوب وضع علامة ""3"" (حرف إبسيلون مقلوب) على مرشات الضبوب، كدليل على أنها تلبي متطلبات هذا التوجيه والملحق التابع له."
58,2. The Committee shall adopt its rules of procedure.,المادة 6
59,"2. The Commission representative shall submit to the Committee a draft of the measures to be taken. The Committee shall deliver its opinion on the draft within a period of two months. Opinions shall be adopted by a majority of 41 votes, the votes of the Member States being weighted as provided in Article 148 (2) of the Treaty. The Chairman shall not vote.",المادة 7
60,"(c) If the Council has not acted within three months of the proposal's being submitted to it, the proposed measures shall be adopted by the Commission.",3. (أ) يتوجب على المفوضية الأوروبية اعتماد التدابير المقترحة إن كانت تتوافق مع الرأي الصادر عن اللجنة.
61,"(b) the symbol ""3"" (inverted epsilon) certifying conformity with the requirements of this Directive,",المادة 8
62,(e) the net contents by weight and by volume.,(ج( الرموز التي تسمح بالتعرف على دمغة التعبئة،
63,"Member States shall take all necessary measures to prevent the use on aerosol dispensers of markings or inscriptions which might be confused with the symbol ""3"" (inverted epsilon).",2. يجوز للدول الأعضاء تسويق مرشات الضبوب في أراضيها شرط استخدام لغتها أو لغاتها المحلية في صياغة الملصق.
64,"2. The Commission shall, within six weeks, consult the Member States concerned, following which it shall deliver its opinion without delay and take the appropriate steps.",المادة 10
65,1. The Member States shall bring into force the provisions necessary to comply with this Directive within 18 months of its notification and shall forthwith inform the Commission thereof.,3. إذا كانت المفوضية الأوروبية تعتبر أنه يجب إخضاع التوجيه لتكييفات تقنية، يتعين إذاً اعتماد هذه التكييفات إما من قبل المفوضية الأوروبية أو المجلس، وذلك وفق الإجراءات المحددة في المادة 7. وفي هذه الحالة، يمكن للدولة العضو التي اعتمدت التدابير الوقائية الإبقاء عليها إلى أن تصبح التكييفات سارية المفعول.
66,This Directive is addressed to the Member States.,2. يتعين على الدول الأعضاء إبلاغ المفوضية الأوروبية بنصوص أحكام القانون المحلي الذي تعتمده في المجال الذي يغطيه هذا التوجيه.
67,"Having regard to the Treaty establishing the European Economic Community, and in particular Articles 43 and 100 thereof;",توجيه المجلس الصادر في 26 يونيو/حزيران 1975 والذي يعدل التوجيهات رقم 66/400/EEC و66/401/EEC و66/402/EEC و66/403/EEC و69/208/EEC بشأن تسويق بذور الشمندر وبذور الأعلاف وبذور الحبوب وبذور البطاطا وبذور الزيت ومحاصيل الألياف (75/444/EEC)
68,Having regard to the Opinion of the Economic and Social Committee (2);,مع الأخذ في الاعتبار اقتراح المفوضية الأوروبية؛
69,Whereas it accordingly seems appropriate to harmonize this sector which has hitherto been covered by national legislation;,حيث أنه يجب تعديل بعض التوجيهات الخاصة بتسويق البذور، للأسباب المذكورة أدناه؛
70,"Whereas it is advisable to authorize Member States to introduce provisions facilitating the sealing of small packages containing cereal seed, seed potatoes and seed of oil and fibre plants;",حيث أنه يوصى في هذا الإطار بتسهيل وسم وختم هذه الصناديق الصغيرة من جهة وجعل الرقابة المناسبة ملزمة لتحديد البذور من جهة أخرى؛
71,Article 1,حيث أنه من الضروري أيضاً إجراء بعض التصحيحات على طريقة تحديد كميات البذور؛
72,"- seed other than monogerm or precision seed : not exceeding a net weight of 10 kg, excluding, where appropriate, granulated pesticides, pelleting substances or other solid additives."" (1)OJ No C 62, 31.7.1973, p. 37. (2)OJ No C 8, 31.1.1974, p. 19. (3)OJ No 125, 11.7.1966, p. 2290/66. (4)OJ No L 356, 27.12.1973, p. 79.",يجب تعديل توجيه المجلس رقم 66/400/EEC (3) الصادر في 14 يونيو/حزيران 1966 بشأن تسويق بذور الشمندر، كما تم تعديله بموجب التوجيه رقم 73/438/EEC (4)، كما يلي: 1. يجب إضافة الفقرة الفرعية التالية على المادة 2 (1):
73,3. Member States shall require that small EEC packages be sealed in such a manner that when the package is opened the seal is damaged and cannot be reattached. Packages shall not be resealed on one more occasions unless this is done under official supervision.,1. يتعين على الدول الأعضاء فرض ختم صناديق البذور الأساسية والبذور المعتمدة بشكل رسمي بحيث يتلف الختم عند فتح الصندوق ويصبح غير قابل لإعادة إرفاقه على الإطلاق، باستثناء الحالات التي تأخذ فيها البذور المعتمدة شكل صناديق صغيرة خاصة بالجماعة الاقتصادية الأوروبية.
74,"""1. Member States shall require that packages of basic seed and certified seed, except where seed of the latter category takes the form of small EEC packages ...""","4. يمكن للدول الأعضاء إدراج استثناءات في الفقرتين 1 و2 في حالة صناديق البذور الأساسية الصغيرة""."
75,6. The following Articles shall be added after Article 11:,5. يجب استبدال نص المادة 11 (2) (ب) بما يلي:
76,"THE COUNCIL OF THE EUROPEAN COMMUNITIES,","المعلومات المطلوبة 1. ""صناديق صغيرة خاصة بالجماعة الاقتصادية الأوروبية""،"
77,Having regard to the Opinion of the European Parliament (1);,مع الأخذ في الاعتبار المعاهدة التي أنشئت بموجبها الجماعة الاقتصادية الأوروبية، وبالتحديد المادتين 42 و43 منها؛
78,"Whereas the aim of the common agricultural policy is to attain the objectives set out in Article 39 of the Treaty ; whereas, in the poultrymeat sector, in order to stabilize markets and to ensure a fair standard of living for the agricultural Community concerned, provision should be made for measures to facilitate the adjustment of supply to market requirements;",حيث أنه تم تعديل الأحكام الأساسية الخاصة بتنظيم سوق لحوم الدواجن عدة مرات منذ اعتمادها؛ وحيث أنه، بسبب عددها وتعقيدها وانتشارها في جرائد رسمية مختلفة، يصعب استخدام النصوص ذات الصلة وبالتالي تفتقر هذه النصوص إلى الوضوح الذي يجب أن يكون الميزة الأساسية لكل التشريعات؛ وحيث أنه يجب بالتالي توحيدها في نص واحد؛
79,Whereas it is necessary to avoid disturbances on the Community market caused by offers made on the world market at abnormally low prices ; whereas to this end sluice-gate prices should be fixed and levies should be increased by an additional amount when free-at-frontier offer prices are lower than those prices;,حيث أن إنشاء سوق واحدة للحوم الدواجن يشمل اعتماد نظام تبادل موحد عند الحدود الخارجية للجماعة، على أن يتضمن هذا النظام الضرائب ودفوعات التصدير؛
80,"Whereas the establishment of a single market would be jeopardized by the granting of certain aids ; whereas, therefore, the provisions of the Treaty which allow the assessment of aids granted by Member States and the prohibition of those which are incompatible with the common market should be made to apply to poultrymeat;",حيث أن بند دفوعات التصدير إلى دول العالم الثالث التي تساوي الفرق بين الأسعار داخل المجموعة وفي السوق العالمي قد يساعد على حفظ مشاركة المجموعة في تجارة لحوم الدواجن دولياً؛ وحيث أنه بغية توفير ضمانة محددة لمصدري المجموعة في ما يتعلق بالدفوعات، يجب وضع بند يسمح بتحديد الدفوعات على لحوم الدواجن مسبقاً؛
81,HAS ADOPTED THIS REGULATION:,حيث أنه يجب أن يأخذ التنظيم المشترك لسوق لحوم الدواجن بعين الاعتبار، بالطريقة المناسبة وفي الوقت نفسه، الأهداف التي تنص عليها المادتان 39 و110 من المعاهدة؛
82,"(c) ""slaughtered poultry"" means dead fowls, ducks, geese, turkeys and guinea fowls, whole, with or without offal;","2. لغايات هذا النظام: (أ) ""الدواجن الحية"" تعني الطيور والبط والإوز والديوك الرومية وطيور الدواجن الحية التي يزن كل منها أكثر من 185 غراماً؛"
83,"3. edible offals specified in paragraph 1 (b),","(د) ""المنتجات المشتقة"" تعني ما يلي: 1. المنتجات المحددة في الفقرة 1(أ)، باستثناء الصيصان،"
84,6. products specified in paragraph 1 (f);,4. المنتجات المحددة في الفقرة 1(ج)،
85,"- measures to improve quality,","(ه) ""الفصل"" يعني فترة ثلاثة أشهر تبدأ من 1 فبراير/شباط أو 1 مايو/أيار أو 1 أغسطس/آب أو 1 نوفمبر/تشرين الثاني."
86,General rules concerning these measures shall be adopted in accordance with the procedure laid down in Article 43 (2) of the Treaty.,- تدابير تسمح بالقيام بتوقعات قصيرة وطويلة الأجل على أساس طرق الإنتاج المستخدمة،
87,"These standards may relate in particular to grading by quality and weight, packaging, storage, transport, presentation and marking.",2. معايير التسويق: - يجب اعتمادها لمنتج أو أكثر من المنتجات المحددة في المادة 1 (1) (ب)،
88,"A levy, fixed in advance for each quarter in accordance with the procedure laid down in Article 17, shall be charged on imports into the Community of the products specified in Article 1 (1).",يجب أن يعتمد المجلس المعايير ونطاقها وقواعد تطبيقها العامة، بالأغلبية المؤهلة بناءً على اقتراح المفوضية الأوروبية.
89,"The prices for feed grain within the Community shall be determined once a year for a period of 12 months beginning 1 August, on the basis of the threshold prices for such grain and the monthly increase thereof.",المادة 4
90,"2. The levy on chicks shall be calculated in the same way as the levy on slaughtered poultry. However, the quantity of feed grain to be used shall be that required for the production in the Community of one chick ; the sluice-gate price shall be that applicable to chicks.",يجب تحديد أسعار حبوب الأعلاف في السوق العالمي على أساس فصلي بحسب أسعار هذه الحبوب للأشهر الستة التي تسبق الفصل الذي يحتسب فيه هذا العنصر.
91,Article 5,3. يتوجب على المجلس بالأغلبية المؤهلة بناءً على اقتراح المفوضية الأوروبية: - تحديد كمية حبوب الأعلاف التي تتغير بحسب نوع الدواجن والمطلوبة لإنتاج كيلوغرام واحد من الدواجن المذبوحة وكمية حبوب الأعلاف المطلوبة لإنتاج صوص واحد، وعند الضرورة ونسبة مختلف حبوب الأعلاف المدرجة في هذه الكميات،
92,3. The coefficients expressing the ratios mentioned in paragraph 1 shall be fixed in accordance with the procedure laid down in Article 17. The information used in fixing the coefficients shall be reconsidered at least once a year.,1. في ما يتعلق بالمنتجات المحددة في المادة 1 (2) (د)، يجب أن تشتق الضريبة من الضريبة على الدواجن المذبوحة، على أساس نسبة وزن مختلف هذه المنتجات على الدواجن المذبوحة، وعند الحاجة متوسط النسبة بين قيمتها في السوق.
93,"The Council, acting by a qualified majority on a proposal from the Commission, shall adopt general rules for the application of this Article.",المادة 6
94,"2. The sluice-gate price for slaughtered poultry shall be composed of: (a) an amount equal to the price on the world market for the quantity of feed grain, varied according to kind of poultry, which is required for the production in third countries of one kilogramme of slaughtered poultry;",المادة 7
95,"However, when the sluice-gate price applicable from 1 November, 1 February and 1 May is being fixed, trends in world market prices for feed grain shall be taken into account only if the price of the quantity of feed grain shows a minimum variation from that used in calculating the sluice-gate price for the preceding quarter. The information used in fixing the standard amount mentioned in (b) shall be reconsidered at least once a year.",(ب) مبلغ معياري يمثل تكاليف العلف والتكاليف العامة الأخرى الخاصة بالانتاج والتسويق، بحسب نوع الدواجن.
96,"5. The Council, acting by a qualified majority on a proposal from the Commission, shall adopt rules for the application of this Article.",3. يجب احتساب أدنى سعر مسموح به لدخول السوق للصيصان بالطريقة نفسها المستخدمة في احتساب أدنى سعر مسموح لدخول السوق للدواجن المذبوحة؛ ولكن، يجب أن يكون سعر كمية حبوب الأعلاف في السوق العالمية هو نفسه سعر الكمية المطلوبة لإنتاج صوص واحد في دول العالم الثالث، ويجب أن يكون المبلغ المعياري المبلغ الذي يمثل تكاليف العلف والتكاليف العامة الأخرى الخاصة بالإنتاج والتسويق، لصوص واحد. ولا يجب أن تختلف كمية حبوب الأعلاف والمبلغ المعياري بحسب النوع.
97,"2. However, the levy shall not be increased by this additional amount as regards third countries which are prepared and in a position to guarantee that the price for imports into the Community of products originating in and coming from their territory will not be lower than the sluice-gate price for the product in question and that any deflection of trade will be avoided.",المادة 8
98,4. Detailed rules for the application of this Article shall be adopted in accordance with the procedure laid down in Article 17.,3. يجب تحديد سعر البضائع الواصلة إلى الحدود لكافة الواردات من دول العالم الثالث.
99,"1. To the extent necessary to enable the products specified in Article 1 (1) to be exported on the basis of prices for those products on the world market, the difference between those prices and prices within the Community may be covered by an export refund.",يجب تحديد المبالغ الإضافية، عندما تكون مطلوبة، وفق الإجراء نفسه.
100,When the refund is being fixed particular account shall be taken of the need to establish a balance between the use of Community basic products in the manufacture of processed goods for export to third countries and the use of third country products brought in under inward processing arrangements.,2. يجب أن تكون الدفوعات نفسها للجماعة كلها. وقد تختلف بحسب الاستخدام أو جهة المقصد.
101,3. Detailed rules for the application of this Article shall be adopted in accordance with the procedure laid down in Article 17.,يتوجب على المجلس، بالأغلبية المؤهلة بناءً على اقتراح المفوضية الأوروبية، اعتماد القواعد العامة لمنح دفوعات التصديرات وتحديدها بشكل مسبق والمعايير المتبعة لتحديد قيمتها.
102,Article 11,المادة 10
103,- the application of any quantitative restriction or measure having equivalent effect.,1. يجب أن تنطبق القواعد العامة الخاصة بتفسير التعريفة الجمركية المشتركة والقواعد الخاصة بتطبيقها على تصنيف تعريفات المنتجات التي يغطيها هذا النظام؛ ويجب أن تشكل تسمية التعريفة الناجمة عن تطبيق هذا النظام جزءاً من التعريفة الجمركية المشتركة.
104,"1. If by reason of imports or exports the Community market in one or more of the products specified in Article 1 (1) experiences or is threatened with serious disturbances which may endanger the objectives set out in Article 39 of the Treaty, appropriate measures may be applied in trade with third countries until such disturbance or threat of disturbance has ceased.",يجب اعتبار أي تدبير يقيّد إصدار تراخيص الاستيراد والتصدير لفئة معينة من الأشخاص، كتدبير له مفعول مساوٍ للتقييد الكمي.
105,3. The measures decided upon by the Commission may be referred to the Council by any Member State within three working days following the day on which they were communicated. The Council shall meet without delay. It may by a qualified majority amend or repeal the measures in question.,يتوجب على المجلس، بالأغلبية المؤهلة وبناءً على اقتراح المفوضية الأوروبية، اعتماد قواعد مفصلة خاصة بتنفيذ هذه الفقرة وتعريف الحالات والحدود التي يمكن للدول الأعضاء اتخاذ إجراءات وقائية ضمن إطارها.
106,Article 14,المادة 13
107,The Member States and the Commission shall communicate to each other the information necessary for implementing this Regulation. Rules for the communication and distribution of such information shall be adopted in accordance with the procedure laid down in Article 17.,من أجل أخذ أي قيود على التداول الحر تفرض نتيجة الوقاية من انتشار الأمراض الحيوانية بعين الاعتبار، يمكن اتخاذ تدابير استثنائية بموجب الإجراء المحدد في المادة 17، لدعم أي سوق يتأثر بمثل هذه القيود. ويمكن اتخاذ هذه التدابير فقط ضمن النطاق وللمدة اللازمة لدعم السوق المذكور.
108,2. Within the Committee the votes of Member States shall be weighted in accordance with Article 148 (2) of the Treaty. The Chairman shall not vote.,المادة 16
